onset,offset,code01,code02,comment
0,1130,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.13s).
0,0,AUD,HIGH,Loudness Violation: Integrated Loudness -28.1 LUFS is outside target -23.0 +/- 1.0.
0,0,STR,UNKNOWN,Missing Metadata: Video track missing language tag. | Audio track missing language tag.
41,208,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.17s
1000,5000,VQUAL,SEVERE,Compression Artifact Ml: ML detected SEVERE artifacts (Avg Score: 60.6)
1270,1410,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.14s).
11000,23000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 50.8)
20790,20970,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.18s).
22270,22940,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.67s).
29000,34000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 42.8)
43540,44800,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.96s). | Audio Silence detected (0.30s).
46960,47160,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.20s).
47370,47570,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.20s).
48000,50000,VQUAL,MODERATE,Compression Artifact Ml: ML detected MODERATE artifacts (Avg Score: 44.1)
49360,49690,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.33s).
52780,52920,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.14s).
53000,63000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 45.6)
53220,55470,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.36s). | Audio Silence detected (0.60s). | Audio Silence detected (0.19s).
56583,56666,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.08s
67000,71000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 38.5)
74000,89000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 45.6)
84480,90630,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (2.52s). | Audio Silence detected (2.96s). | Audio Silence detected (0.34s). | Audio Silence detected (0.30s).
90870,92820,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.43s). | Audio Silence detected (1.50s).
92000,99000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 41.7)
93380,93860,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.48s).
93791,94041,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.08s | Content frozen for 0.12s
94040,94170,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.13s).
94450,95540,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.37s). | Audio Silence detected (0.63s).
97640,98080,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.22s). | Audio Silence detected (0.16s).
104000,118000,VQUAL,MODERATE,Compression Artifact Ml: ML detected MODERATE artifacts (Avg Score: 50.0)
105710,105820,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.11s).
106150,106510,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.36s).
120460,120570,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.11s).
121000,124000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 47.0)
121400,123240,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.65s). | Audio Silence detected (1.15s).
126120,126260,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.14s).
127000,129000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 41.2)
130570,131150,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.58s).
131720,131940,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.22s).
132790,133010,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.22s).
134650,137420,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (2.39s). | Audio Silence detected (0.33s).
138170,138520,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.35s).
138790,138900,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.11s).
140750,143580,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.83s). | Audio Silence detected (0.40s). | Audio Silence detected (0.33s). | Audio Silence detected (0.17s).
144000,149000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 44.9)
148916,149041,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.12s
150760,151490,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.73s).
152560,152690,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.13s).
152930,153050,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.12s).
153450,155530,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.16s). | Audio Silence detected (0.95s). | Audio Silence detected (0.13s). | Audio Silence detected (0.73s).
155670,156390,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.52s). | Audio Silence detected (0.17s).
156291,156375,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.08s
157000,245000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 47.0)
158950,159810,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.42s). | Audio Silence detected (0.37s).
160220,160650,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.43s).
161230,161350,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.12s).
162260,163410,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.15s).
